CCAA,DELITO,EDAD,SEXO,ANYO,FRECUENCIA
CASTILLA Y LEON,    DELITOS SEXUALES,De 14 a 17 anyos,Masculino,2011,0
CASTILLA Y LEON,    FALSIFICACION INFORMATICA,De 14 a 17 anyos,Masculino,2011,0
CASTILLA Y LEON,    FRAUDE INFORMATICO,De 14 a 17 anyos,Masculino,2011,0
CASTILLA Y LEON,    INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA,De 14 a 17 anyos,Masculino,2011,0
CASTILLA - LA MANCHA,    ACCESO  E INTERCEPTACION ILICITA,De 14 a 17 anyos,Masculino,2011,1
CASTILLA - LA MANCHA,    AMENAZAS Y COACCIONES,De 14 a 17 anyos,Masculino,2011,3
CASTILLA - LA MANCHA,    CONTRA EL HONOR,De 14 a 17 anyos,Masculino,2011,2
CASTILLA - LA MANCHA,    CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL,De 14 a 17 anyos,Masculino,2011,0
CASTILLA - LA MANCHA,    DELITOS SEXUALES,De 14 a 17 anyos,Masculino,2011,3
CASTILLA - LA MANCHA,    FALSIFICACION INFORMATICA,De 14 a 17 anyos,Masculino,2011,1
CASTILLA - LA MANCHA,    FRAUDE INFORMATICO,De 14 a 17 anyos,Masculino,2011,3
CASTILLA - LA MANCHA,    INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA,De 14 a 17 anyos,Masculino,2011,0
CATALUnyA,    ACCESO  E INTERCEPTACION ILICITA,De 14 a 17 anyos,Masculino,2011,0
CATALUnyA,    AMENAZAS Y COACCIONES,De 14 a 17 anyos,Masculino,2011,0
CATALUnyA,    CONTRA EL HONOR,De 14 a 17 anyos,Masculino,2011,0
CATALUnyA,    CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL,De 14 a 17 anyos,Masculino,2011,0
CATALUnyA,    DELITOS SEXUALES,De 14 a 17 anyos,Masculino,2011,3
CATALUnyA,    FALSIFICACION INFORMATICA,De 14 a 17 anyos,Masculino,2011,0
CATALUnyA,    FRAUDE INFORMATICO,De 14 a 17 anyos,Masculino,2011,1
CATALUnyA,    INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA,De 14 a 17 anyos,Masculino,2011,0
COMUNITAT VALENCIANA,    ACCESO  E INTERCEPTACION ILICITA,De 14 a 17 anyos,Masculino,2011,3
COMUNITAT VALENCIANA,    AMENAZAS Y COACCIONES,De 14 a 17 anyos,Masculino,2011,10
COMUNITAT VALENCIANA,    CONTRA EL HONOR,De 14 a 17 anyos,Masculino,2011,1
COMUNITAT VALENCIANA,    CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL,De 14 a 17 anyos,Masculino,2011,0
COMUNITAT VALENCIANA,    DELITOS SEXUALES,De 14 a 17 anyos,Masculino,2011,3
COMUNITAT VALENCIANA,    FALSIFICACION INFORMATICA,De 14 a 17 anyos,Masculino,2011,1
COMUNITAT VALENCIANA,    FRAUDE INFORMATICO,De 14 a 17 anyos,Masculino,2011,2
COMUNITAT VALENCIANA,    INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA,De 14 a 17 anyos,Masculino,2011,0
EXTREMADURA,    ACCESO  E INTERCEPTACION ILICITA,De 14 a 17 anyos,Masculino,2011,2
EXTREMADURA,    AMENAZAS Y COACCIONES,De 14 a 17 anyos,Masculino,2011,2
EXTREMADURA,    CONTRA EL HONOR,De 14 a 17 anyos,Masculino,2011,0
EXTREMADURA,    CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL,De 14 a 17 anyos,Masculino,2011,0
EXTREMADURA,    DELITOS SEXUALES,De 14 a 17 anyos,Masculino,2011,0
EXTREMADURA,    FALSIFICACION INFORMATICA,De 14 a 17 anyos,Masculino,2011,0
EXTREMADURA,    FRAUDE INFORMATICO,De 14 a 17 anyos,Masculino,2011,0
EXTREMADURA,    INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA,De 14 a 17 anyos,Masculino,2011,0
GALICIA,    ACCESO  E INTERCEPTACION ILICITA,De 14 a 17 anyos,Masculino,2011,1
GALICIA,    AMENAZAS Y COACCIONES,De 14 a 17 anyos,Masculino,2011,0
GALICIA,    CONTRA EL HONOR,De 14 a 17 anyos,Masculino,2011,1
GALICIA,    CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL,De 14 a 17 anyos,Masculino,2011,0
GALICIA,    DELITOS SEXUALES,De 14 a 17 anyos,Masculino,2011,0
GALICIA,    FALSIFICACION INFORMATICA,De 14 a 17 anyos,Masculino,2011,0
GALICIA,    FRAUDE INFORMATICO,De 14 a 17 anyos,Masculino,2011,1
GALICIA,    INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA,De 14 a 17 anyos,Masculino,2011,0
MADRID (COMUNIDAD DE),    ACCESO  E INTERCEPTACION ILICITA,De 14 a 17 anyos,Masculino,2011,4
MADRID (COMUNIDAD DE),    AMENAZAS Y COACCIONES,De 14 a 17 anyos,Masculino,2011,4
MADRID (COMUNIDAD DE),    CONTRA EL HONOR,De 14 a 17 anyos,Masculino,2011,1
MADRID (COMUNIDAD DE),    CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL,De 14 a 17 anyos,Masculino,2011,0
MADRID (COMUNIDAD DE),    DELITOS SEXUALES,De 14 a 17 anyos,Masculino,2011,1
MADRID (COMUNIDAD DE),    FALSIFICACION INFORMATICA,De 14 a 17 anyos,Masculino,2011,0
MADRID (COMUNIDAD DE),    FRAUDE INFORMATICO,De 14 a 17 anyos,Masculino,2011,2
MADRID (COMUNIDAD DE),    INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA,De 14 a 17 anyos,Masculino,2011,0
MURCIA (REGION DE),    ACCESO  E INTERCEPTACION ILICITA,De 14 a 17 anyos,Masculino,2011,0
MURCIA (REGION DE),    AMENAZAS Y COACCIONES,De 14 a 17 anyos,Masculino,2011,2
MURCIA (REGION DE),    CONTRA EL HONOR,De 14 a 17 anyos,Masculino,2011,0
MURCIA (REGION DE),    CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL,De 14 a 17 anyos,Masculino,2011,0
MURCIA (REGION DE),    DELITOS SEXUALES,De 14 a 17 anyos,Masculino,2011,0
MURCIA (REGION DE),    FALSIFICACION INFORMATICA,De 14 a 17 anyos,Masculino,2011,0
MURCIA (REGION DE),    FRAUDE INFORMATICO,De 14 a 17 anyos,Masculino,2011,0
MURCIA (REGION DE),    INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA,De 14 a 17 anyos,Masculino,2011,0
NAVARRA (COMUNIDAD FORAL DE),    ACCESO  E INTERCEPTACION ILICITA,De 14 a 17 anyos,Masculino,2011,0
NAVARRA (COMUNIDAD FORAL DE),    AMENAZAS Y COACCIONES,De 14 a 17 anyos,Masculino,2011,0
NAVARRA (COMUNIDAD FORAL DE),    CONTRA EL HONOR,De 14 a 17 anyos,Masculino,2011,0
NAVARRA (COMUNIDAD FORAL DE),    CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL,De 14 a 17 anyos,Masculino,2011,0
NAVARRA (COMUNIDAD FORAL DE),    DELITOS SEXUALES,De 14 a 17 anyos,Masculino,2011,1
NAVARRA (COMUNIDAD FORAL DE),    FALSIFICACION INFORMATICA,De 14 a 17 anyos,Masculino,2011,0
NAVARRA (COMUNIDAD FORAL DE),    FRAUDE INFORMATICO,De 14 a 17 anyos,Masculino,2011,0
NAVARRA (COMUNIDAD FORAL DE),    INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA,De 14 a 17 anyos,Masculino,2011,0
PAIS VASCO,    ACCESO  E INTERCEPTACION ILICITA,De 14 a 17 anyos,Masculino,2011,0
PAIS VASCO,    AMENAZAS Y COACCIONES,De 14 a 17 anyos,Masculino,2011,0
PAIS VASCO,    CONTRA EL HONOR,De 14 a 17 anyos,Masculino,2011,0
PAIS VASCO,    CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL,De 14 a 17 anyos,Masculino,2011,0
PAIS VASCO,    DELITOS SEXUALES,De 14 a 17 anyos,Masculino,2011,0
PAIS VASCO,    FALSIFICACION INFORMATICA,De 14 a 17 anyos,Masculino,2011,0
PAIS VASCO,    FRAUDE INFORMATICO,De 14 a 17 anyos,Masculino,2011,0
PAIS VASCO,    INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA,De 14 a 17 anyos,Masculino,2011,0
